alpha,Pe,D_ratio,n_cells,cell_motility
0.000800,-5.000000,2.000000,20,5.000000
0.000800,-5.000000,2.000000,80,5.000000
0.000800,-5.000000,2.000000,320,5.000000
0.000800,-5.000000,2.000000,1280,5.000000
0.000800,-5.000000,2.000000,5120,5.000000
0.006500,-5.000000,2.000000,20,5.000000
0.006500,-5.000000,2.000000,80,5.000000
0.006500,-5.000000,2.000000,320,5.000000
0.006500,-5.000000,2.000000,1280,5.000000
0.006500,-5.000000,2.000000,5120,5.000000
0.050000,-5.000000,2.000000,20,5.000000
0.050000,-5.000000,2.000000,80,5.000000
0.050000,-5.000000,2.000000,320,5.000000
0.050000,-5.000000,2.000000,1280,5.000000
0.050000,-5.000000,2.000000,5120,5.000000
0.388000,-5.000000,2.000000,20,5.000000
0.388000,-5.000000,2.000000,80,5.000000
0.388000,-5.000000,2.000000,320,5.000000
0.388000,-5.000000,2.000000,1280,5.000000
0.388000,-5.000000,2.000000,5120,5.000000
3.000000,-5.000000,2.000000,20,5.000000
3.000000,-5.000000,2.000000,80,5.000000
3.000000,-5.000000,2.000000,320,5.000000
3.000000,-5.000000,2.000000,1280,5.000000
3.000000,-5.000000,2.000000,5120,5.000000
